country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,2510,2200,,,512,,1600,1040,1450,,,1700,2820,2530,1090,981,1040
Algeria,0.601,0.884,0.4,0.309,0.743,0.379,0.768,0.674,,2.33,1.77,1.41,0.977,,,,
Angola,2310,10500,6980,6240,5580,1270,,6900,8820,10800,11700,8730,12600,21400,15900,14500,13800
Argentina,5.09,2.43,1.92,2.23,2.76,3.06,5.81,1.66,0.939,0.608,1.19,0.577,0.332,0.321,0.3,0.668,0.534
Armenia,0,0,0,0,5.95,15.6,10.9,26.8,37.1,19.9,4.58,2.58,1.71,0.955,1.55,0.232,0
Azerbaijan,0.333,1.54,0.362,0.304,8.68,36.5,167,125,64.5,28.6,18.7,12.9,6.15,5.83,4.65,2.9,1.7
Bangladesh,47.7,55,97.8,104,135,121,78.2,52.1,44.8,46.6,43.3,254,212,333,143,124,232
Belize,1630,1740,2720,4250,4780,4400,3000,1770,1130,776,607,437,361,,392,572,294
Benin,1790,2210,5220,6970,9110,9330,9730,10200,9550,10100,9790,9620,10200,10300,10400,9460,9840
Bhutan,1740,4060,5400,5380,7790,4570,3080,1750,1460,2250,1060,1780,1220,666,486,306,307
Bolivia,295,279,351,384,475,627,837,659,926,614,378,1450,1590,1790,1810,2200,2230
Botswana,786,1020,345,3720,1940,1120,4990,6220,3570,4270,4130,2750,1630,13200,1230,612,1020
Brazil,375,404,395,297,355,350,277,236,279,355,351,220,194,225,252,323,290
Burkina Faso,5600,4920,4470,5180,4740,4880,5510,6190,6450,7530,8690,2880,9390,11000,11500,11600,14400
Burundi,1630,9770,13000,13700,13500,14900,15400,10500,10700,29600,45900,49200,37600,31000,23100,30100,26500
Cambodia,1280,1030,876,924,768,675,640,734,480,516,489,846,756,888,670,480,628
Cameroon,7100,6250,5130,3590,1380,5580,6460,5330,4390,,,,,,,1560,3490
Cape Verde,19.4,22,10.2,11.5,5.36,31.7,18.8,4.76,9.53,6.59,,3.25,0.423,1.24,0.808,1.38,1.35
Central African Republic,5800,4050,2830,2510,2440,2930,2690,2750,2850,3380,2320,3140,,1920,3140,3150,2680
Chad,3480,3910,3530,3500,4020,4110,3760,4500,5010,4810,4360,4720,5070,4900,4030,3930,3820
China,10.2,8.74,6.29,4.96,5.17,3.86,2.71,2.15,2.16,2.12,1.46,2.09,13.3,13,11.1,7.58,8.75
Colombia,285,518,508,351,339,489,349,456,460,163,258,487,455,377,264,263,264
Comoros,,,,2100,2350,2590,2480,,581,1440,,518,,,5650,3700,6700
"Congo, Dem. Rep.",,,,,,,426,,292,3050,1900,4230,,7950,,,8260
"Congo, Rep.",1340,1300,824,588,1320,1000,487,321,564,,,,,,,,4280
Costa Rica,37.4,104,215,152,131,130,154,129,137,104,47.8,34,24.9,17.2,30.3,81.8,66
Cote d'Ivoire,4010,3530,4050,2980,,5040,7190,6200,,,8750,6860,6270,6320,6980,6890,6630
Djibouti,577,1270,1260,693,1010,958,951,650,862,866,640,577,658,648,271,322,942
Dominican Republic,4.88,5.07,9.21,12.8,21.2,22.6,17.3,9.82,23.7,41.7,13.9,11.7,14.3,14.1,25.3,40.5,36.7
Ecuador,698,565,383,427,268,159,103,139,365,722,801,874,687,408,222,131,74.7
Egypt,0.136,0.0427,0.0279,0.0291,0.885,0.531,0.0405,0.0175,0.0203,0.0934,0.0255,0.0162,0.0145,0.064,0.0601,0.0316,0.0391
El Salvador,181,114,85.6,71.9,50.8,59.7,103,46.4,19.8,20.2,12,5.75,1.83,1.29,1.7,0.99,0.651
Equatorial Guinea,7520,6510,7070,4910,3980,3280,,,,,,,,,,,
Eritrea,,,,,,2530,3980,,7420,4140,3230,3280,1870,1570,638,534,216
Eswatini,,,,,,,3970,2380,432,2930,4310,1750,1360,1040,851,790,331
Ethiopia,,,377,540,613,684,770,797,920,959,553,3180,3440,4190,7410,4260,4640
Gabon,6260,8490,10300,7080,7990,5190,6860,5180,7080,,,8040,,,,7770,9010
Gambia,23100,21600,18100,,26800,11700,22100,26100,,9560,,,,,,10000,16000
Georgia,0.0183,0.0369,0.0188,0,0.0195,0.0199,0.141,0.0205,0.331,1.07,5.19,9.41,10.2,6.9,5.67,3.46,1.35
Ghana,9240,8570,8780,10000,9600,10800,11900,11900,9070,14700,16600,14800,14900,16500,15500,15300,15300
Guatemala,468,634,617,438,226,242,198,307,445,411,475,311,301,257,234,311,239
Guinea,361,282,,,8580,8200,10300,10400,10400,10000,,10200,9990,8440,9930,9450,9090
Guinea-Bissau,8050,6120,5180,14200,,16600,527,843,163,14800,18000,17500,13900,13000,10500,11600,9040
Guyana,3100,5780,5420,4510,5370,8030,,4350,5600,3710,3270,3690,2970,3750,3910,5270,2840
Haiti,67.6,352,182,11.3,301,,237,,416,14.2,197,113,,109,118,234,347
Honduras,1090,1460,1370,839,958,1070,1310,1130,723,770,567,382,267,215,258,234,166
India,235,241,237,241,269,313,312,268,220,222,194,196,170,170,172,160,155
Indonesia,94,71.3,54.7,71.2,75,62.4,89.8,79.4,77.8,,47.8,653,687,672,670,793,580
Iran,137,166,130,107,83.4,109,89.3,60.5,50.9,35.3,29.8,28.9,23.1,34.6,20.1,27.3,22.6
Iraq,21.2,9.25,29.3,246,469,456,223,60.7,40.8,17,7.42,4.92,3.62,1.29,0.565,0.168,0.0842
Jamaica,,,,,,,,,,,,,,,,,14.2
Kenya,,,,,23000,15900,13400,,272,403,237,10200,10100,15100,21800,25800,21800
Kyrgyz Republic,0.0228,0.0225,0.0447,0,0.132,0.0653,0.559,0.275,0.229,0.102,0.243,0.559,54.3,9.17,1.81,4.34,6.08
Lao,541,977,890,939,1150,1110,1620,1470,777,547,766,1960,1580,1620,965,536,355
Liberia,,,,,,,10500,33400,28800,,,,,,,3390,30900
Madagascar,,,,,,1410,,,,7260,,8140,9330,12500,8040,6590,5290
Malawi,41000,,,47500,47600,,59900,26000,27300,37200,32500,32000,22700,26700,22300,27900,31000
Malaysia,279,211,193,204,294,288,246,123,60.7,48.8,54.6,53.8,45.4,25.6,24.4,21.7,20.3
Mali,3250,3590,3480,3570,3090,1090,332,4180,129,5450,5460,5950,6820,7410,17500,8290,8540
Mauritania,1380,2110,2230,2080,7210,9640,7920,8050,6940,10200,10100,9230,8260,11400,7800,7540,6180
Mauritius,5.11,4.49,6.1,4.93,5.85,4.09,7.21,5.65,4.47,6.22,5.23,5.09,,,,,
Mexico,53,31.1,18.6,17.8,14.3,7.98,6.73,5.05,25.8,13.7,7.38,4.85,4.54,3.73,3.3,2.85,
Morocco,3.37,1.96,1.57,0.758,0.776,0.731,0.373,0.451,0.43,0.211,0.205,0.202,0.363,0.245,0.186,0.328,0.269
Mozambique,,,,,,,77.9,,1120,13200,18000,21200,24000,24800,28000,28700,30200
Myanmar,2460,2300,1910,1670,1650,1520,1520,1280,1220,267,,1240,1540,1520,1270,1060,982
Namibia,,,,24300,24900,16600,20300,22300,19600,23300,27600,28200,23000,23800,30600,16800,13000
Nepal,120,149,116,79.5,44.7,44.8,29.8,39.3,36.4,40.6,31.2,586,523,756,530,657,560
Nicaragua,864,652,618,989,910,1490,1590,882,686,769,470,202,146,126,128,122,56.3
Niger,14900,10000,10400,8400,9000,8380,12100,9810,8430,7600,5810,11600,7440,5510,5940,6170,6450
Nigeria,1180,935,1220,953,1110,1040,1030,997,1790,1620,1990,1760,1980,1940,2400,2500,2750
North Korea,,,,,,,,,4.82,35.1,321,1280,1040,259,144,48.7,39.5
Oman,1780,1010,750,825,342,82.9,56.8,45,46.9,38,28.9,26.2,24.1,30.1,24.8,21.7,17.4
Pakistan,70.5,57.3,83.2,76,87,87.5,74.8,57.6,53.3,65,57.2,85.1,71.8,82,81.6,80.9,77.6
Panama,15.8,45.3,28.9,18.8,26.1,27.3,17.5,18.2,36.6,32.4,35.1,30.9,71.9,144,161,114,50.6
Papua New Guinea,2540,2040,1990,1500,1420,2100,1470,767,409,354,1510,29800,28100,28500,31500,29500,27000
Paraguay,68.6,68.5,28.9,9.52,12.4,18.7,13,11.3,40.8,190,128,49.6,49.9,24.5,12,6.37,13.7
Peru,133,152,243,413,520,807,859,747,989,658,272,306,326,298,347,,
