title,artist,genre,year,bpm,dB,duration,popularity
"Hey, Soul Sister",Train,neo mellow,2010,97,-4,217,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,-5,263,82
TiK ToK,Kesha,dance pop,2010,120,-3,200,80
Bad Romance,Lady Gaga,dance pop,2010,119,-4,295,79
Just the Way You Are,Bruno Mars,pop,2010,109,-5,221,78
Baby,Justin Bieber,canadian pop,2010,65,-5,214,77
Dynamite,Taio Cruz,dance pop,2010,120,-4,203,77
Secrets,OneRepublic,dance pop,2010,148,-6,225,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,-8,216,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,-4,235,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,-4,235,73
Marry You,Bruno Mars,pop,2010,145,-5,230,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,-5,213,73
Telephone,Lady Gaga,dance pop,2010,122,-6,221,73
Like A G6,Far East Movement,dance pop,2010,125,-8,217,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,-6,269,72
Eenie Meenie,Sean Kingston,dance pop,2010,121,-4,202,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,-8,308,70
Alejandro,Lady Gaga,dance pop,2010,99,-7,274,69
Your Love Is My Drug,Kesha,dance pop,2010,120,-4,187,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,-7,284,68
Whataya Want from Me,Adam Lambert,australian pop,2010,186,-5,227,66
Take It Off,Kesha,dance pop,2010,125,-5,215,66
Misery,Maroon 5,pop,2010,103,-5,216,65
All The Right Moves,OneRepublic,dance pop,2010,146,-4,238,65
Animal,Neon Trees,indie pop,2010,148,-6,212,65
Naturally,Selena Gomez & The Scene,dance pop,2010,133,-5,203,64
I Like It,Enrique Iglesias,dance pop,2010,129,-3,231,63
Teenage Dream,Katy Perry,dance pop,2010,120,-5,228,63
California Gurls,Katy Perry,dance pop,2010,125,-4,235,62
3,Britney Spears,dance pop,2010,135,-2,213,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,-4,192,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,-3,172,62
Imma Be,The Black Eyed Peas,dance pop,2010,92,-7,258,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,-5,249,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,-5,196,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,-5,264,61
If I Had You,Adam Lambert,australian pop,2010,131,-4,228,59
Rock That Body,The Black Eyed Peas,dance pop,2010,125,-6,269,59
Dog Days Are Over,Florence + The Machine,art pop,2010,150,-5,253,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,-4,185,58
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,-7,273,57
Hard,Rihanna,barbadian pop,2010,182,-4,251,57
Loca,Shakira,colombian pop,2010,112,-4,193,56
You Lost Me,Christina Aguilera,dance pop,2010,43,-6,257,56
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,-5,186,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,-4,220,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,-3,221,52
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,-5,329,49
Break Your Heart,Taio Cruz,dance pop,2010,122,-5,186,33
Hello,Martin Solveig,big room,2010,128,-3,191,0
A Thousand Years,Christina Perri,dance pop,2011,139,-7,285,81
Someone Like You,Adele,british soul,2011,135,-8,285,80
Give Me Everything,Pitbull,dance pop,2011,129,-3,252,79
Just the Way You Are,Bruno Mars,pop,2011,109,-5,221,78
Rolling in the Deep,Adele,british soul,2011,105,-5,228,76
Run the World (Girls),Beyoncé,dance pop,2011,127,-4,236,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,-4,201,76
Love On Top,Beyoncé,dance pop,2011,94,-5,267,76
Grenade,Bruno Mars,pop,2011,110,-7,223,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,-5,200,75
What the Hell,Avril Lavigne,canadian pop,2011,150,-4,221,74
Born This Way,Lady Gaga,dance pop,2011,124,-5,260,73
Monster,Kanye West,chicago rap,2011,125,-6,379,73
Marry You,Bruno Mars,pop,2011,145,-5,230,73
Best Thing I Never Had,Beyoncé,dance pop,2011,99,-4,254,73
Party Rock Anthem,LMFAO,dance pop,2011,130,-4,262,72
We R Who We R,Kesha,dance pop,2011,120,-5,205,72
Price Tag,Jessie J,australian pop,2011,175,-4,223,72
Good Life,OneRepublic,dance pop,2011,95,-8,253,72
Just Can’t Get Enough,The Black Eyed Peas,dance pop,2011,94,-9,219,71
On The Floor,Jennifer Lopez,dance pop,2011,130,-5,285,69
What's My Name?,Rihanna,barbadian pop,2011,100,-3,263,69
Yeah 3x,Chris Brown,dance pop,2011,130,-3,242,69
Without You (feat. Usher),David Guetta,dance pop,2011,128,-4,208,68
Sexy And I Know It,LMFAO,dance pop,2011,130,-4,199,67
The Edge Of Glory,Lady Gaga,dance pop,2011,128,-6,321,67
E.T.,Katy Perry,dance pop,2011,152,-5,230,66
Till the World Ends,Britney Spears,dance pop,2011,132,-6,238,65
I Wanna Go,Britney Spears,dance pop,2011,130,-7,210,64
Blow,Kesha,dance pop,2011,120,-4,220,64
You And I,Lady Gaga,dance pop,2011,127,-5,307,64
Judas,Lady Gaga,dance pop,2011,131,-4,249,63
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,-4,232,63
Please Don't Go,Mike Posner,dance pop,2011,120,-4,197,63
We Found Love,Rihanna,barbadian pop,2011,128,-4,215,61
Marry The Night,Lady Gaga,dance pop,2011,131,-4,265,61
1+1,Beyoncé,dance pop,2011,63,-7,274,60
Hold It Against Me,Britney Spears,dance pop,2011,133,-5,229,59
I'm Into You,Jennifer Lopez,dance pop,2011,84,-4,200,59
Papi,Jennifer Lopez,dance pop,2011,120,-5,223,58
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,-4,262,58
S&M Remix,Rihanna,barbadian pop,2011,128,-3,257,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,-4,220,52
Jar of Hearts,Christina Perri,dance pop,2011,75,-6,247,50
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,-5,329,49
Turning Page,Sleeping At Last,acoustic pop,2011,125,-8,255,46
Super Bass,Nicki Minaj,dance pop,2011,127,-7,201,38
Raise Your Glass,P!nk,dance pop,2011,122,-7,208,38
Invading My Mind,Jennifer Lopez,dance pop,2011,129,-4,201,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,-4,279,28
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,-4,231,27
Firework,Katy Perry,dance pop,2011,124,-5,228,25
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,-5,227,7
Titanium (feat. Sia),David Guetta,dance pop,2012,126,-4,245,80
Locked Out of Heaven,Bruno Mars,pop,2012,144,-4,233,79
Paradise,Coldplay,permanent wave,2012,140,-7,279,79
Payphone,Maroon 5,pop,2012,110,-5,231,79
What Makes You Beautiful,One Direction,boy band,2012,125,-2,200,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,-7,220,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,-7,193,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,-4,188,76
Set Fire to the Rain,Adele,british soul,2012,108,-4,242,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,-6,193,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,-4,222,74
Try,P!nk,dance pop,2012,104,-7,248,74
Starships,Nicki Minaj,dance pop,2012,125,-2,211,73
One More Night,Maroon 5,pop,2012,93,-3,220,73
Good Time,Owl City,pop,2012,126,-4,206,73
Glad You Came,The Wanted,boy band,2012,127,-4,198,72
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,-5,228,72
International Love,Pitbull,dance pop,2012,120,-3,227,72
Some Nights,fun.,baroque pop,2012,108,-7,277,72
Boyfriend,Justin Bieber,canadian pop,2012,97,-6,171,71
Part Of Me,Katy Perry,dance pop,2012,130,-5,216,71
Domino,Jessie J,australian pop,2012,127,-5,232,69
Where Have You Been,Rihanna,barbadian pop,2012,128,-6,243,68
Wide Awake,Katy Perry,dance pop,2012,160,-5,221,68
The One That Got Away,Katy Perry,dance pop,2012,134,-4,227,67
Dance Again,Jennifer Lopez,dance pop,2012,128,-5,237,66
Turn Up the Music,Chris Brown,dance pop,2012,130,-6,228,65
Lights - Single Version,Ellie Goulding,dance pop,2012,120,-6,211,65
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,-6,251,63
Diamonds,Rihanna,barbadian pop,2012,92,-5,225,61
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,-4,206,59
You Da One,Rihanna,barbadian pop,2012,127,-5,200,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,-3,211,54
It Will Rain,Bruno Mars,pop,2012,150,-7,258,38
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,-3,256,0
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,-5,230,88
Wake Me Up,Avicii,big room,2013,124,-6,247,85
Story of My Life,One Direction,boy band,2013,121,-6,245,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,-7,243,81
Hall of Fame,The Script,celtic rock,2013,85,-4,203,80
Roar,Katy Perry,dance pop,2013,180,-5,224,78
We Can't Stop,Miley Cyrus,dance pop,2013,80,-6,231,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,-3,213,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,-9,248,77
Wrecking Ball,Miley Cyrus,dance pop,2013,120,-6,221,77
Impossible,James Arthur,pop,2013,170,-5,209,77
Blurred Lines,Robin Thicke,dance pop,2013,120,-5,264,76
Heart Attack,Demi Lovato,dance pop,2013,174,-5,211,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,-6,193,75
Die Young,Kesha,dance pop,2013,128,-5,212,75
Clarity,Zedd,complextro,2013,128,-3,271,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,-6,215,74
Under Control,Calvin Harris,dance pop,2013,126,-3,184,74
Everybody Talks,Neon Trees,indie pop,2013,155,-4,177,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,-7,228,73
Best Song Ever,One Direction,boy band,2013,118,-3,200,73
Kiss You,One Direction,boy band,2013,90,-3,183,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,-4,213,72
Lose Yourself to Dance,Daft Punk,electro,2013,100,-8,354,72
Work Bitch,Britney Spears,dance pop,2013,128,-7,248,71
Brave,Sara Bareilles,acoustic pop,2013,185,-4,221,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,-4,258,70
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,-4,230,70
Beneath Your Beautiful,Labrinth,pop,2013,84,-6,272,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,-7,252,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,-7,236,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,-6,215,69
The Way,Ariana Grande,dance pop,2013,82,-3,227,68
Suit & Tie,Justin Timberlake,dance pop,2013,102,-4,326,68
#thatPOWER,will.i.am,dance pop,2013,128,-6,280,68
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,-3,157,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,-3,209,67
Daylight,Maroon 5,pop,2013,120,-5,225,66
Love Somebody,Maroon 5,pop,2013,120,-6,230,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,-6,241,65
Move,Little Mix,dance pop,2013,121,-5,224,63
Walks Like Rihanna,The Wanted,boy band,2013,126,-3,202,62
Rock N Roll,Avril Lavigne,canadian pop,2013,184,-3,207,61
Heartbreaker,Justin Bieber,canadian pop,2013,105,-7,263,61
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,-6,277,60
Next To Me,Emeli Sandé,dance pop,2013,95,-5,197,60
Made In The USA,Demi Lovato,dance pop,2013,87,-4,196,60
Clown,Emeli Sandé,dance pop,2013,130,-8,221,60
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,-6,271,59
TKO,Justin Timberlake,dance pop,2013,138,-7,424,58
Come & Get It,Selena Gomez,dance pop,2013,80,-4,232,57
Live It Up,Jennifer Lopez,dance pop,2013,128,-5,244,57
We Own The Night,The Wanted,boy band,2013,104,-4,206,56
